LAC,CI,longitude,latitude
202,24271,121.304897258,31.0447754508
214,30512,121.48224289,30.9147527683
174,83,121.482840322,31.2588885399
164,12292,121.371448347,31.4178880832
220,151,121.433955415,31.1559128293
165,14583,121.168285628,31.2881916522
218,48281,121.297165313,31.1917331292
176,32572,121.509448986,31.1806429715
211,10072,121.776435046,31.0648404448
173,50411,121.499448943,31.2243843026
165,25421,121.164654016,31.3012135246
219,30403,121.673719813,31.163683142
203,12511,121.495904361,31.0209457582
210,30032,121.437134284,31.1987604049
182,11792,121.350559232,31.1873665573
167,46343,121.457266316,31.2476679445
202,26213,121.218371724,31.0314457411
166,21072,121.53729104,31.2743271499
213,12263,121.431284975,31.1085204885
216,113,121.472314199,31.1391389107
165,11103,121.244913306,31.3083027954
161,45121,121.668368661,31.3936268659
164,371,121.438556517,31.3658264679
210,45741,121.437922648,31.1947173542
173,11791,121.507238717,31.2009196499
161,20623,121.619470758,31.5367941186
202,21463,121.169817933,30.8831606478
172,50482,121.538242355,31.3253446518
165,12271,121.2759021,31.2728559591
181,22631,121.50026241,31.299294057
210,45213,121.43158202,31.1941249181
168,36471,121.454941771,31.2434309221
171,30771,121.446428251,31.2111821087
202,46731,121.29373481,31.0185435161
203,10061,121.384339026,30.9971890901
214,11793,121.344418934,30.9881648548
210,45891,121.437004042,31.1935680351
171,47372,121.435018596,31.2105088216
173,28952,121.509523189,31.2332680472
178,21013,121.269188167,31.414969705
162,13021,121.635978629,31.2009080449
213,45362,121.525952562,31.0861640646
172,21083,121.476337229,31.3216816611
206,22021,121.776349689,31.1187206125
202,40834,121.343624012,30.7149291656
162,51273,121.669147148,31.237940486
204,12642,121.409582157,31.1243521566
209,23044,121.207847275,31.0318105047
203,22073,121.547072192,31.0398130719
211,25481,121.763517073,31.0529909879
176,22284,121.520247679,31.1492047673
209,23892,121.268215627,31.038950783
174,50733,121.482301518,31.251666903
172,12162,121.487070389,31.3117479284
201,11011,121.258094011,31.0801909004
207,21823,121.642203965,30.9198589879
179,30672,121.559654804,31.2198730841
163,51541,121.490210365,31.2062431923
214,23752,121.472374071,30.9063445517
216,47591,121.488304026,31.1711313435
163,21842,121.4836651,31.2306836015
219,45852,121.588555329,31.187882033
162,26411,121.634487081,31.2044878803
204,22052,121.366683941,31.1118934636
215,52462,121.401055315,31.0523112118
215,11482,121.386579148,31.0879334428
201,21542,121.315811574,31.065996368
162,2002,121.626071336,31.2427063026
214,14501,121.486579069,30.9256768717
170,28073,121.530079724,31.2182313776
167,31233,121.458383484,31.2481957717
167,30832,121.445078469,31.297001929
210,27212,121.446865373,31.1885003049
167,12881,121.434315965,31.2831119556
201,20841,121.307640289,31.1343299733
203,30692,121.50142314,31.0047696997
210,12202,121.441746662,31.2026356456
178,33991,121.247947295,31.3631711672
168,302,121.41582195,31.2594969606
166,1032,121.539763881,31.2806834998
172,51873,121.389080961,31.3125333415
176,45241,121.504417125,31.1794575383
215,52842,121.452709629,31.0410492586
172,51843,121.399467808,31.316980595
177,451,121.632522081,31.2928245367
167,27632,121.456940233,31.283203802
214,20602,121.317735263,30.9421573205
209,34352,121.214149688,31.0567258424
168,31744,121.41274701,31.3033459404
204,10561,121.353452412,31.1542147723
205,52052,121.428234712,31.177600119
168,523,121.425747155,31.2895533975
161,21923,121.692314166,31.3898209223
208,44313,121.484529425,31.1988860644
207,14823,121.426316542,30.8273320207
169,47493,121.405878387,31.1937281846
179,30411,121.587817394,31.2047307341
172,51613,121.497365298,31.3276434257
215,12302,121.372999705,31.059963043
174,16131,121.480220108,31.2705608619
171,48742,121.456746179,31.2308414425
201,10301,121.280543512,31.1098701506
210,47301,121.437643069,31.1942775211
166,22751,121.515285924,31.2745288951
216,10762,121.448517964,31.1435943225
215,47021,121.417854034,31.0659972119
162,12982,121.675102677,31.2856823387
169,45941,121.406869264,31.2036030299
