LAC,CI,longitude,latitude
175,40684,121.3973,31.25002
168,50302,121.41117,31.26132
206,23841,121.75018,31.14708
205,43543,121.41101,31.1522
215,30741,121.38694,31.08376
179,12553,121.56729,31.22095
202,10203,121.32682,30.78436
180,33201,121.35799,31.26185
211,11423,121.73745,31.04904
174,30792,121.487,31.30137
165,321,121.29524,31.23427
210,20063,121.45359,31.199
163,47712,121.43322,31.19576
179,28042,121.60191,31.20605
206,22713,121.69006,31.1124
201,21181,121.2508,31.08834
173,51163,121.49134,31.2163
171,622,121.41694,31.24027
166,22482,121.49798,31.29773
173,20751,121.51,31.2283
161,22642,121.76127,31.34936
162,22742,121.65213,31.20412
215,25362,121.39987,31.09728
166,10031,121.5263,31.2857
168,21952,121.4044,31.29795
176,21532,121.54577,31.1497
172,20501,121.48615,31.33961
218,32982,121.26292,31.10364
165,10382,121.16833,31.29666
175,31023,121.39442,31.24366
182,13092,121.31385,31.2056
211,30283,121.88981,30.88904
167,52153,121.43133,31.29621
172,11913,121.5245,31.33986
209,13963,121.1521,31.00032
168,21923,121.40932,31.2578
175,47801,121.37841,31.22286
204,1192,121.36378,31.14191
204,12061,121.38133,31.13017
177,12473,121.54459,31.24974
203,47132,121.50987,31.06289
171,26174,121.44929,31.22959
178,13941,121.20051,31.32626
218,51512,121.28896,31.12205
213,32152,121.4889,31.07574
208,31201,121.45509,31.21859
167,52121,121.45242,31.28652
213,10381,121.43408,31.14447
210,47783,121.42973,31.18022
182,21142,121.35211,31.18621
182,46621,121.35493,31.21836
202,10712,121.3246,30.72094
207,35743,121.5114,30.84606
173,31451,121.50521,31.24025
179,58102,121.56632,31.21413
170,50753,121.5229,31.21366
165,24391,121.15979,31.29237
168,51511,121.42093,31.24848
204,20031,121.37596,31.14452
212,23341,121.12249,31.14693
166,31691,121.53854,31.28773
167,2403,121.44598,31.28562
174,50713,121.49175,31.27251
174,47491,121.48416,31.26585
214,25351,121.31654,30.93834
163,47984,121.48505,31.20471
182,20033,121.33949,31.22482
206,21102,121.6939,31.16155
165,41233,121.26868,31.29692
171,45591,121.43385,31.2296
209,24251,121.18468,31.02665
210,47011,121.43893,31.19431
177,13312,121.6063,31.3063
165,10212,121.27444,31.28916
168,31872,121.36964,31.27778
170,10812,121.52345,31.19697
171,48131,121.42998,31.21231
176,21593,121.55137,31.15062
165,46461,121.1581,31.28914
209,26331,121.22124,31.04164
169,25141,121.37338,31.2068
218,48056,121.2927,31.19374
176,21182,121.56969,31.14685
210,35582,121.435,31.1838
207,47321,121.72961,30.94966
166,22352,121.53699,31.29093
163,21222,121.47683,31.21828
172,25304,121.39524,31.31498
219,45032,121.61558,31.19541
208,1342,121.4715,31.19709
168,152,121.42268,31.2937
173,36621,121.49574,31.23982
213,45111,121.5091,31.08933
207,48011,121.50786,30.84248
167,10652,121.45662,31.29203
214,20903,121.32303,30.91032
170,31361,121.53283,31.19382
166,31642,121.52021,31.26656
214,48271,121.488,30.9272
182,48196,121.35556,31.22975
163,20463,121.47583,31.21416
176,20321,121.50598,31.14538
162,2651,121.63082,31.2061
180,30732,121.34581,31.24981
161,32903,121.41957,31.63568
203,11921,121.63609,31.0219
164,10032,121.33611,31.40916
209,31051,121.2636,31.02536
182,10391,121.322,31.1891
205,21592,121.39341,31.16206
208,28781,121.487,31.20914
171,21363,121.44028,31.23056
213,22372,121.44717,31.13115
176,45591,121.49938,31.15731
172,52,121.44278,31.31611
215,46712,121.38417,31.08806
163,45132,121.48283,31.21121
215,232,121.37958,31.10488
166,291,121.51419,31.2542
217,23222,121.0091,30.97968
209,31841,121.27735,31.03877
204,51173,121.38779,31.17449
202,10892,121.33524,30.75335
205,42832,121.39641,31.16378
203,21943,121.58199,31.03679
170,10521,121.52861,31.21777
165,10782,121.195,31.3073
208,46381,121.47071,31.19729
182,13771,121.29644,31.19818
168,51891,121.41982,31.25678
166,50662,121.50294,31.26414
214,24143,121.3439,30.81101
203,27183,121.43247,31.02765
173,46611,121.51608,31.23091
165,12693,121.1974,31.26919
202,45621,121.34445,30.73203
172,47241,121.52082,31.31195
163,10071,121.47361,31.2325
202,13661,121.23459,30.76468
209,10951,121.24,31.01602
209,13593,121.24305,31.01646
170,47395,121.54031,31.19617
206,10563,121.6294,31.06421
203,22703,121.61527,31.02729
213,12641,121.57513,31.12277
174,30433,121.4849,31.27291
168,11361,121.40533,31.25101
175,22063,121.39324,31.21182
162,50443,121.66833,31.25673
180,23811,121.31734,31.31005
214,11851,121.20429,30.85399
179,28102,121.56632,31.21413
166,21542,121.52035,31.26942
178,12231,121.23219,31.37389
170,47781,121.52518,31.24193
208,48551,121.48687,31.18887
180,20963,121.27123,31.3134
218,37854,121.2927,31.19374
169,51801,121.3931,31.20761
215,48021,121.40278,31.10993
220,30032,121.41998,31.15261
168,31311,121.38283,31.26136
208,51963,121.48714,31.20161
174,20841,121.47911,31.26564
161,11102,121.38757,31.75125
174,21771,121.48032,31.24848
168,31553,121.37337,31.28444
167,793,121.45171,31.29573
202,31713,121.28931,31.0023
210,25892,121.43238,31.19544
204,48401,121.38609,31.17107
162,26766,121.67101,31.2509
178,46164,121.2501,31.35165
209,12551,121.00881,31.00013
171,46944,121.43154,31.2204
164,31131,121.486,31.3767
